freq (Hz),value(ganho "Vtun" -0.3) (dB),value(ganho "Vtun" -0.2) (dB),value(ganho "Vtun" -0.1) (dB),value(ganho "Vtun" 0.0) (dB),dB20(value(VF("/Vout") "Vtun" 0.0)) (dB),value(ganho "Vtun" 0.1) (dB),value(ganho "Vtun" 0.2) (dB)
4.898E6,-157.6,-152.0,-151.7,-153.7,-153.7,-156.2,-158.8
5.012E6,-158.5,-152.7,-152.3,-154.2,-154.2,-156.6,-159.2
5.129E6,-159.4,-153.5,-152.9,-154.7,-154.7,-157.0,-159.5
5.248E6,-160.4,-154.2,-153.5,-155.2,-155.2,-157.5,-159.8
5.370E6,-161.3,-155.0,-154.1,-155.8,-155.8,-157.9,-160.2
5.495E6,-162.3,-155.7,-154.7,-156.3,-156.3,-158.3,-160.5
5.623E6,-163.2,-156.5,-155.4,-156.8,-156.8,-158.7,-160.8
5.754E6,-164.2,-157.3,-156.0,-157.3,-157.3,-159.2,-161.1
5.888E6,-165.2,-158.1,-156.6,-157.9,-157.9,-159.6,-161.5
6.026E6,-166.2,-158.9,-157.3,-158.4,-158.4,-160.0,-161.8
6.166E6,-167.2,-159.7,-157.9,-158.9,-158.9,-160.4,-162.1
6.310E6,-168.2,-160.5,-158.5,-159.4,-159.4,-160.9,-162.5
6.457E6,-169.2,-161.3,-159.2,-160.0,-160.0,-161.3,-162.8
6.607E6,-170.2,-162.1,-159.9,-160.5,-160.5,-161.7,-163.1
6.761E6,-171.2,-163.0,-160.5,-161.1,-161.1,-162.2,-163.4
6.918E6,-172.3,-163.8,-161.2,-161.6,-161.6,-162.6,-163.8
7.079E6,-173.3,-164.7,-161.9,-162.2,-162.2,-163.0,-164.1
7.244E6,-174.3,-165.5,-162.6,-162.7,-162.7,-163.5,-164.5
7.413E6,-175.4,-166.4,-163.3,-163.3,-163.3,-163.9,-164.8
7.586E6,-176.5,-167.3,-164.0,-163.9,-163.9,-164.4,-165.2
7.762E6,-177.5,-168.2,-164.7,-164.5,-164.5,-164.9,-165.5
7.943E6,-178.6,-169.1,-165.4,-165.1,-165.1,-165.3,-165.9
8.128E6,-179.7,-170.0,-166.1,-165.7,-165.7,-165.8,-166.3
8.318E6,-180.8,-170.9,-166.9,-166.3,-166.3,-166.3,-166.7
8.511E6,-181.9,-171.9,-167.6,-166.9,-166.9,-166.8,-167.1
8.710E6,-183.0,-172.8,-168.4,-167.5,-167.5,-167.3,-167.5
8.913E6,-184.1,-173.8,-169.2,-168.2,-168.2,-167.9,-167.9
9.120E6,-185.2,-174.7,-170.0,-168.8,-168.8,-168.4,-168.4
9.333E6,-186.3,-175.7,-170.8,-169.5,-169.5,-169.0,-168.8
9.550E6,-187.4,-176.7,-171.6,-170.2,-170.2,-169.5,-169.3
9.772E6,-188.6,-177.7,-172.5,-170.9,-170.9,-170.1,-169.8
10.00E6,-189.7,-178.7,-173.3,-171.6,-171.6,-170.7,-170.3
